Population,state
"4,874,747",.Alabama
"739,795",.Alaska
"7,016,270",.Arizona
"3,004,279",.Arkansas
"39,536,653",.California
"5,607,154",.Colorado
"3,588,184",.Connecticut
"961,939",.Delaware
"693,972",.District of Columbia
"20,984,400",.Florida
"10,429,379",.Georgia
"1,427,538",.Hawaii
"1,716,943",.Idaho
"12,802,023",.Illinois
"6,666,818",.Indiana
"3,145,711",.Iowa
"2,913,123",.Kansas
"4,454,189",.Kentucky
"4,684,333",.Louisiana
"1,335,907",.Maine
"6,052,177",.Maryland
"6,859,819",.Massachusetts
"9,962,311",.Michigan
"5,576,606",.Minnesota
"2,984,100",.Mississippi
"6,113,532",.Missouri
"1,050,493",.Montana
"1,920,076",.Nebraska
"2,998,039",.Nevada
"1,342,795",.New Hampshire
"9,005,644",.New Jersey
"2,088,070",.New Mexico
"19,849,399",.New York
"10,273,419",.North Carolina
"755,393",.North Dakota
"11,658,609",.Ohio
"3,930,864",.Oklahoma
"4,142,776",.Oregon
"12,805,537",.Pennsylvania
"1,059,639",.Rhode Island
"5,024,369",.South Carolina
"869,666",.South Dakota
"6,715,984",.Tennessee
"28,304,596",.Texas
"3,101,833",.Utah
"623,657",.Vermont
"8,470,020",.Virginia
"7,405,743",.Washington
"1,815,857",.West Virginia
"5,795,483",.Wisconsin
"579,315",.Wyoming
